epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.09568,0.70688,0.8,1,0.59678,0.000277833,0.000277833,0.000277833
2,2.30316,0.60548,0.8,1,0.59678,0.000805994,0.000805994,0.000805994
3,2.91309,0.66158,0.8,1,0.59678,0.00129748,0.00129748,0.00129748
4,3.56177,0.63524,1,1,0.27291,0.00150197,0.00150197,0.00150197
5,4.16068,0.43522,1,1,0.27291,0.00144696,0.00144696,0.00144696
6,4.71942,0.34357,1,1,0.27291,0.00139195,0.00139195,0.00139195
7,5.42737,0.53991,1,1,0.27291,0.00133693,0.00133693,0.00133693
8,6.35181,0.46384,1,1,0.11356,0.00128192,0.00128192,0.00128192
9,7.0514,0.3775,1,1,0.11356,0.00122691,0.00122691,0.00122691
10,7.85395,0.42569,1,1,0.11356,0.0011719,0.0011719,0.0011719
11,8.72934,0.36747,1,1,0.05926,0.00111689,0.00111689,0.00111689
12,9.5119,0.10828,1,1,0.05926,0.00106188,0.00106188,0.00106188
13,10.1319,0.1651,1,1,0.05926,0.00100687,0.00100687,0.00100687
14,11.1402,0.17883,1,1,0.05926,0.000951857,0.000951857,0.000951857
15,11.7968,0.41534,1,1,0.04252,0.000896846,0.000896846,0.000896846
16,12.6981,0.08319,1,1,0.04252,0.000841835,0.000841835,0.000841835
17,13.3474,0.37557,1,1,0.04252,0.000786824,0.000786824,0.000786824
18,14.0462,0.14737,1,1,0.03137,0.000731813,0.000731813,0.000731813
19,14.698,0.05241,1,1,0.03137,0.000676802,0.000676802,0.000676802
20,15.6383,0.34935,1,1,0.03137,0.000621791,0.000621791,0.000621791
21,16.3162,0.29476,1,1,0.03137,0.00056678,0.00056678,0.00056678
22,16.9574,0.32283,1,1,0.04471,0.000511769,0.000511769,0.000511769
23,17.6196,0.04121,1,1,0.04471,0.000456758,0.000456758,0.000456758
24,18.3359,0.058,1,1,0.04471,0.000401747,0.000401747,0.000401747
25,19.0327,0.29121,1,1,0.04213,0.000346736,0.000346736,0.000346736
26,19.6199,0.03207,1,1,0.04213,0.000291725,0.000291725,0.000291725
27,20.2248,0.25448,1,1,0.04213,0.000236714,0.000236714,0.000236714
28,20.8794,0.10054,1,1,0.04213,0.000181703,0.000181703,0.000181703
29,21.4947,0.34729,1,1,0.03462,0.000126692,0.000126692,0.000126692
30,22.0934,0.37937,1,1,0.03462,7.1681e-05,7.1681e-05,7.1681e-05
